StartDate,EndDate,Duration,MTurkCode,Browser Meta Info-Browser,Browser Meta Info-Operating System,96 AW_1,96 AW_2,96 GL_1,96 GL_2,128 AW_1,128 AW_2,128 GL_1,128 GL_2,256 AW_1,256 AW_2,256 GL_1,256 GL_2,lossle AW_1,lossle AW_2,lossle GL_1,lossle GL_2,96 AW2_1,96 AW2_2,96 GL2_1,96 GL2_2,128 AW2_1,128 AW2_2,128 GL2_1,128 GL2_2,256 AW2_1,256 AW2_2,256 GL2_1,256 GL2_2,lossle AW2_1,lossle AW2_2,lossle GL2_1,lossle GL2_2,Fuel Text,Instruct 2,P2 C 96_1,P2 C 96_2,P2 C 256_1,P2 C 256_2,P2 C Loss_1,P2 C Loss_2,P2 T 96_1,P2 T 96_2,P2 T 256_1,P2 T 256_2,P2 T Loss_1,P2 T Loss_2,SpeakType,NormalUse,ListFreq,ListLoc,Age
2015-08-20 17:10:10,2015-08-20 17:16:59,6m 49s,884138954,Firefox,Windows NT 6.1,,,,,,,,,3,6,5,7,,,,,,,,,3,6,5,7,,,,,,,,,1,1,5,6,5,6,5,6,,,,,,,2,1,6,4,6
2015-08-20 15:59:17,2015-08-20 16:07:56,8m 39s,439981204,Firefox,Windows NT 6.3,,,,,6,7,5,5,,,,,,,,,,,,,,,,,,,,,4,5,6,7,1,1,7,6,7,7,7,7,,,,,,,6,1,6,4,4
2015-08-20 15:42:29,2015-08-20 15:49:47,7m 18s,751216958,Firefox,Windows NT 6.1,6,7,7,7,,,,,,,,,,,,,,,,,,,,,7,7,7,7,,,,,1,1,,,,,,,7,7,7,7,7,7,4,1,5,4,4
2015-08-20 04:50:11,2015-08-20 04:53:12,3m 1s,586981970,Chrome,Windows NT 6.1,,,,,,,,,,,,,3,3,7,5,2,2,3,5,,,,,,,,,,,,,1,1,5,4,6,6,4,4,,,,,,,5,1,7,4,2
2015-08-20 00:50:54,2015-08-20 00:57:51,6m 57s,603485044,Firefox,Windows NT 6.1,,,,,4,6,6,5,,,,,,,,,4,5,6,6,,,,,,,,,,,,,1,1,,,,,,,6,5,6,6,6,6,2,2,7,1,4
2015-08-19 14:51:52,2015-08-19 14:55:31,3m 39s,365228070,Firefox,Windows NT 6.1,,,,,,,,,,,,,7,7,7,7,7,7,7,7,,,,,,,,,,,,,1,1,7,6,7,7,7,7,,,,,,,6,1,7,4,4
2015-08-19 09:43:53,2015-08-19 09:51:16,7m 23s,595149531,Chrome,Windows NT 6.1,,,,,5,5,6,3,,,,,,,,,,,,,,,,,,,,,5,6,6,3,1,1,,,,,,,6,5,6,6,6,6,1,1,7,1,3
2015-08-17 13:29:30,2015-08-17 13:40:12,10m 42s,153214038,Firefox,Windows NT 10.0,6,6,7,7,,,,,,,,,,,,,,,,,,,,,6,6,7,7,,,,,1,1,7,6,7,6,7,7,,,,,,,4,1,7,4,5
2015-08-17 11:21:04,2015-08-17 11:29:22,8m 18s,836651413,Firefox,Windows NT 6.1,,,,,,,,,,,,,5,7,7,7,,,,,6,6,7,7,,,,,,,,,1,1,,,,,,,7,6,7,6,6,7,4,1,7,1,4
2015-08-17 10:25:35,2015-08-17 10:33:34,7m 59s,763603470,Safari iPad,iPad,,,,,6,7,7,7,,,,,,,,,,,,,6,7,7,7,,,,,,,,,1,1,6,6,6,7,6,6,,,,,,,1,2,7,1,3
2015-08-17 10:16:20,2015-08-17 10:22:15,5m 55s,453565561,Firefox,Windows NT 6.0,,,,,,,,,5,5,5,6,,,,,,,,,5,5,5,6,,,,,,,,,1,1,,,,,,,4,4,4,5,4,7,3,1,7,4,3
2015-08-17 08:28:44,2015-08-17 08:36:27,7m 43s,799622292,Firefox,Ubuntu,3,3,3,5,,,,,,,,,,,,,,,,,2,3,3,6,,,,,,,,,1,1,,,,,,,3,6,3,6,3,6,4,1,7,4,3
2015-08-17 08:15:54,2015-08-17 08:22:14,6m 20s,223820004,Firefox,Windows NT 6.1,1,3,5,6,,,,,,,,,,,,,,,,,,,,,4,6,6,7,,,,,1,1,6,6,6,7,6,5,,,,,,,4,1,7,4,3
2015-08-17 06:56:19,2015-08-17 07:00:58,4m 39s,256865421,Firefox,Windows NT 6.1,6,6,5,6,,,,,,,,,,,,,,,,,,,,,6,6,5,6,,,,,1,1,7,6,7,6,7,7,,,,,,,4,1,6,3,3
2015-08-17 00:12:58,2015-08-17 00:20:32,7m 34s,878524789,Safari iPad,iPad,,,,,,,,,,,,,5,6,6,6,,,,,,,,,5,6,6,6,,,,,1,1,,,,,,,5,5,5,6,5,6,2,1,7,1,4
2015-08-16 21:05:36,2015-08-16 21:10:20,4m 44s,995355268,Firefox,Windows NT 6.0,5,6,2,6,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,6,1,1,3,5,3,6,3,6,,,,,,,5,1,7,4,3
2015-08-16 19:29:27,2015-08-16 19:37:43,8m 16s,324656000,Firefox,Linux i686,,,,,,,,,,,,,3,6,1,7,,,,,3,6,1,6,,,,,,,,,1,1,,,,,,,5,6,5,6,5,7,1,2,7,4,3
2015-08-16 17:50:02,2015-08-16 17:57:04,7m 2s,510540389,Firefox,Windows NT 6.3,,,,,6,5,6,7,,,,,,,,,,,,,,,,,,,,,6,6,7,6,1,1,6,4,6,6,6,6,,,,,,,2,2,7,1,3
2015-08-16 16:23:13,2015-08-16 16:29:26,6m 13s,587215496,Firefox,Windows NT 6.3,,,,,6,7,7,7,,,,,,,,,6,6,7,6,,,,,,,,,,,,,1,1,6,5,6,6,6,6,,,,,,,1,1,7,1,4
2015-08-16 15:03:48,2015-08-16 15:10:46,6m 58s,582187293,Firefox,Windows NT 10.0,2,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,3,5,2,6,1,1,,,,,,,5,6,5,6,5,6,2,1,7,4,3
2015-08-16 13:57:02,2015-08-16 14:02:50,5m 48s,581280702,Firefox,Windows NT 6.1,6,6,7,7,,,,,,,,,,,,,,,,,,,,,,,,,5,5,7,6,1,1,,,,,,,7,6,7,6,7,7,2,1,6,4,6
2015-08-16 13:49:51,2015-08-16 13:53:19,3m 28s,743634935,Firefox,Windows NT 6.3,6,6,6,7,,,,,,,,,,,,,,,,,,,,,6,6,6,6,,,,,1,1,6,6,6,7,6,7,,,,,,,1,1,5,4,3
2015-08-16 13:36:52,2015-08-16 13:44:08,7m 16s,307710777,Firefox,Ubuntu,,,,,,,,,5,4,5,5,,,,,5,5,5,4,,,,,,,,,,,,,1,1,,,,,,,6,4,6,6,6,6,4,1,7,2,3
2015-08-16 13:03:10,2015-08-16 13:08:39,5m 29s,198533108,Firefox,Windows NT 6.3,6,5,6,5,,,,,,,,,,,,,,,,,,,,,,,,,5,6,5,6,1,1,4,5,6,5,6,5,,,,,,,2,1,4,4,4
2015-08-16 12:28:40,2015-08-16 12:33:59,5m 19s,210062074,Firefox,Windows NT 10.0,7,6,7,5,,,,,,,,,,,,,,,,,,,,,7,6,7,6,,,,,1,1,,,,,,,7,5,7,6,7,6,1,1,7,4,2
2015-08-16 11:55:11,2015-08-16 11:58:40,3m 29s,820742252,Firefox,Windows NT 6.1,3,3,3,6,,,,,,,,,,,,,,,,,,,,,5,3,3,5,,,,,1,1,,,,,,,6,5,5,6,5,7,2,1,7,1,7
2015-08-16 11:50:36,2015-08-16 11:57:05,6m 29s,838594216,Firefox,Windows NT 6.1,,,,,,,,,6,7,7,7,,,,,,,,,,,,,,,,,6,7,7,7,1,1,6,6,7,7,7,7,,,,,,,2,1,7,4,3
2015-08-16 10:47:41,2015-08-16 10:54:54,7m 13s,768602595,Firefox,Windows NT 6.1,,,,,,,,,7,7,7,7,,,,,,,,,,,,,,,,,7,7,7,7,1,1,,,,,,,6,6,6,6,5,5,4,1,7,4,4
2015-08-16 10:35:03,2015-08-16 10:40:09,5m 6s,768180431,Firefox,Windows NT 6.3,7,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,4,1,1,3,6,3,6,5,3,,,,,,,1,1,7,4,4
2015-08-16 10:25:17,2015-08-16 10:30:15,4m 58s,240296898,Chrome,Windows NT 10.0,,,,,6,5,6,6,,,,,,,,,,,,,,,,,6,6,6,6,,,,,1,1,,,,,,,5,5,6,6,4,4,2,1,7,1,6
2015-08-16 10:00:55,2015-08-16 10:11:17,10m 22s,908948250,Firefox,Linux i686,,,,,4,4,5,5,,,,,,,,,4,4,5,4,,,,,,,,,,,,,1,1,4,4,4,4,4,4,,,,,,,6,1,5,4,4
